Basket_ID	Table_ID	is_current	is_expired	Description	Size_MB	Release_Date	Path	Notes
2005693	41413	TRUE	FALSE	Refresh 31398	4530	2020-04-01	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2005693/41413/download/ukb41413.tab	
2007183	40831	TRUE	FALSE	Additional data	3180	2020-02-25	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2007183/40831/download/ukb40831.tab	
2007034	40763	TRUE	FALSE	Additional data	2.85	2020-02-22	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2007034/40763/download/ukb40763.tab	imaging fields (DICOM etc.)
9796	39887	TRUE	FALSE	Refresh 30169	2482	2020-01-09	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/9796/39887/download/ukb39887.tab	
2005693	37855	FALSE	FALSE	Additional data	4370	2019-10-08	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2005693/37855/download/ukb37855.tab	
2005473	37512	TRUE	FALSE	Additional data	3.66	2019-09-25	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2005473/37512/download/ukb37512.tab	
2005223	37338	TRUE	FALSE	Additional data	181	2019-09-19	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2005223/37338/download/ukb37338.tab	
2004890	35059	TRUE	FALSE	Additional data	8.27	2019-07-26	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2004890/35059/download/ukb35059.tab	
2004575	33364	TRUE	FALSE	Additional data	3.56	2019-06-25	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2004575/33364/download/ukb33364.tab	
2004275	31017	TRUE	FALSE	Additional data	177	2019-05-28	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2004275/31017/download/ukb31017.tab	
2002843	28983	TRUE	FALSE	Additional data	268	2019-04-12	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2002843/28983/download/ukb28983.tab	
2003422	28249	TRUE	FALSE	Automated exome 50K release	2.47	2019-03-29	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2003422/28249/download/ukb28249.tab	
10136	25826	TRUE	TRUE	Refresh	765	2018-12-20	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/25826/download/ukb25826.tab	
2001702	25279	TRUE	TRUE	Additional data	50.6	2018-11-21	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2001702/25279/download/ukb25279.tab	
9796	24611	FALSE	TRUE	Refresh 23009	2460	2018-11-07	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/9796/24611/download/ukb24611.tab	
10483	24613	TRUE	TRUE	Refresh 23011	14.1	2018-11-07	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/download/ukb24613.tab	
11139	24614	TRUE	TRUE	Refresh 23012	79.3	2018-11-07	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/11139/24614/download/ukb24614.tab	
2000269	24615	TRUE	TRUE	Refresh 23013	148	2018-11-07	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2000269/24615/download/ukb24615.tab	
9796	21732	FALSE	TRUE	Refresh 20987	2350	2018-04-18	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/9796/21732/download/ukb21732.tab	
10136	21731	FALSE	TRUE	Refresh 20986	744	2018-04-18	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/download/ukb21731.tab	
10483	21733	FALSE	TRUE	Refresh 20988	14.1	2018-04-18	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/21733/download/ukb21733.tab	
11139	21734	FALSE	TRUE	Refresh 20989	78.4	2018-04-18	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/11139/21734/download/ukb21734.tab	
2000269	21730	FALSE	TRUE	Refresh 20985	143	2018-04-18	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2000269/21730/download/ukb21730.tab	
2000269	21729	FALSE	TRUE	add data	143	2018-04-18	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2000269/21729/download/ukb21729.tab	
11139	11140	FALSE	TRUE	Dataset R11140, released 03-Nov-2017	78.4	2017-11-03	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/11139/11140/download/ukb11140.tab	
10483	10484	FALSE	TRUE	Dataset R10484, released 04-Sep-2017	14.1	2017-09-04	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/10484/download/ukb10484.tab	
10136	10137	FALSE	TRUE	Dataset R10137, released 28-Jul-2017	731	2017-06-28	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/10137/download/ukb10137.tab	
9796	9797	FALSE	TRUE	Dataset R9797, released 31-May-2017	2150	2017-05-31	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/9796/9797/download/ukb9797.tab	
